Region,Counter Strike: (2006),Fortnite: (2006),Dota 2: (2006),League of Legends: (2006),PUBG: (2006),Counter Strike: (2007),Fortnite: (2007),Dota 2: (2007),League of Legends: (2007),PUBG: (2007),Counter Strike: (2008),Fortnite: (2008),Dota 2: (2008),League of Legends: (2008),PUBG: (2008),Counter Strike: (2009),Fortnite: (2009),Dota 2: (2009),League of Legends: (2009),PUBG: (2009),Counter Strike: (2010),Fortnite: (2010),Dota 2: (2010),League of Legends: (2010),PUBG: (2010),Counter Strike: (2011),Fortnite: (2011),Dota 2: (2011),League of Legends: (2011),PUBG: (2011),Counter Strike: (2012),Fortnite: (2012),Dota 2: (2012),League of Legends: (2012),PUBG: (2012),Counter Strike: (2013),Fortnite: (2013),Dota 2: (2013),League of Legends: (2013),PUBG: (2013),Counter Strike: (2014),Fortnite: (2014),Dota 2: (2014),League of Legends: (2014),PUBG: (2014),Counter Strike: (2015),Fortnite: (2015),Dota 2: (2015),League of Legends: (2015),PUBG: (2015),Counter Strike: (2016),Fortnite: (2016),Dota 2: (2016),League of Legends: (2016),PUBG: (2016),Counter Strike: (2017),Fortnite: (2017),Dota 2: (2017),League of Legends: (2017),PUBG: (2017),Counter Strike: (2018),Fortnite: (2018),Dota 2: (2018),League of Legends: (2018),PUBG: (2018),Counter Strike: (2019),Fortnite: (2019),Dota 2: (2019),League of Legends: (2019),PUBG: (2019),Counter Strike: (2020),Fortnite: (2020),Dota 2: (2020),League of Legends: (2020),PUBG: (2020),Counter Strike: (2021),Fortnite: (2021),Dota 2: (2021),League of Legends: (2021),PUBG: (2021)
Nevada,100,0,0,0,0,97,0,3,0,0,97,0,3,0,0,74,0,0,26,0,26,0,1,73,0,10,0,8,82,0,8,0,15,77,0,4,0,19,77,0,4,1,21,75,0,6,1,21,73,0,6,1,19,75,0,2,27,9,37,25,1,88,1,4,8,1,89,1,5,5,1,87,1,8,4,1,86,2,8,4
California,100,0,1,1,0,100,0,1,1,0,99,1,1,1,0,92,1,1,7,1,55,1,1,44,0,8,1,9,83,0,7,1,19,74,0,4,1,22,74,0,4,1,23,73,0,6,1,23,71,1,5,1,23,72,0,2,21,13,40,24,1,87,1,4,8,1,88,1,6,5,1,86,1,9,4,1,84,2,9,5
Wisconsin,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,70,0,0,30,0,15,0,2,83,0,8,1,7,85,0,8,1,19,73,0,4,1,22,74,0,6,1,23,71,0,5,1,24,71,0,5,1,21,74,0,2,30,10,30,28,1,89,1,3,8,1,91,1,4,4,1,90,1,6,3,1,88,1,7,4
Oregon,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,65,0,1,34,0,13,1,1,86,0,7,1,8,85,1,7,1,17,76,0,6,1,26,68,1,7,1,26,67,0,7,1,25,68,0,9,1,23,68,0,4,24,12,31,29,1,85,1,4,10,1,87,1,6,6,1,86,1,9,4,1,84,2,9,5
Washington,100,0,0,0,0,100,0,0,0,0,99,0,1,1,0,75,0,1,24,0,17,0,2,81,1,8,1,8,84,0,6,1,19,75,0,3,1,26,71,0,4,1,27,69,0,5,1,28,67,0,5,1,31,64,0,1,21,17,32,29,1,83,2,4,11,1,84,2,7,7,1,83,2,9,6,1,81,3,9,7
Utah,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,65,0,2,33,0,10,0,4,86,0,6,0,11,83,0,6,1,20,74,0,2,1,25,73,0,3,1,27,70,0,5,1,24,71,0,5,1,26,69,0,2,25,11,36,26,1,88,1,3,8,1,88,1,6,5,1,87,1,8,4,1,85,2,10,3
Ohio,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,75,0,1,24,0,21,0,2,77,0,9,1,8,83,0,8,1,16,76,0,4,1,24,72,0,6,1,25,69,1,7,1,24,69,0,7,1,24,69,1,2,34,9,29,26,1,90,1,2,8,1,92,1,3,4,1,91,1,5,4,1,90,1,5,4
Florida,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,77,0,2,21,0,24,0,2,74,0,10,0,7,83,0,8,1,17,75,0,4,1,22,74,0,5,1,22,73,0,7,1,22,71,1,7,1,20,73,0,3,29,9,34,25,1,89,1,3,8,1,90,1,5,4,1,89,1,6,4,1,87,1,7,5
Maine,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,0,0,33,0,38,0,0,62,0,15,0,7,78,0,8,1,15,77,0,4,0,26,70,0,7,0,27,66,0,7,1,26,67,0,9,0,21,70,0,2,31,8,29,30,1,89,1,2,9,1,91,1,4,4,1,89,1,7,3,1,88,2,6,4
Kentucky,98,0,0,2,0,98,0,2,0,0,100,0,0,0,0,86,0,2,12,0,20,0,2,78,0,8,1,9,83,0,8,1,12,80,0,4,1,21,75,0,5,1,21,74,0,6,1,23,71,0,8,0,19,73,1,2,36,7,26,29,1,89,1,2,9,1,92,1,3,5,1,91,1,5,4,1,91,1,5,3
