Region,Counter Strike: (2013),Fortnite: (2013),Dota 2: (2013),League of Legends: (2013),PUBG: (2013)
Hawaii,2%,,17%,81%,
California,4%,<1%,22%,74%,
Nevada,4%,,19%,77%,
Washington,3%,<1%,26%,71%,
Idaho,5%,<1%,21%,74%,
Alaska,2%,,26%,72%,
Utah,2%,<1%,25%,73%,
South Dakota,,,20%,80%,
Arkansas,3%,<1%,22%,75%,
North Dakota,6%,<1%,23%,71%,
Arizona,4%,<1%,23%,73%,
Indiana,4%,<1%,22%,74%,
New Hampshire,2%,,25%,73%,
Wisconsin,4%,<1%,22%,74%,
Minnesota,2%,<1%,23%,75%,
Montana,6%,,20%,74%,
Maine,4%,,26%,70%,
Iowa,5%,<1%,24%,71%,
New Jersey,4%,<1%,25%,71%,
Rhode Island,3%,,21%,76%,
Virginia,3%,<1%,26%,71%,
Kansas,3%,<1%,21%,76%,
Nebraska,3%,<1%,23%,74%,
Michigan,4%,<1%,24%,72%,
Oklahoma,5%,,22%,73%,
Maryland,3%,<1%,26%,71%,
West Virginia,4%,<1%,25%,71%,
Ohio,4%,<1%,24%,72%,
Connecticut,5%,,25%,70%,
Kentucky,4%,<1%,21%,75%,
Vermont,5%,,31%,64%,
Oregon,6%,<1%,26%,68%,<1%
Texas,4%,<1%,23%,73%,
Florida,4%,<1%,22%,74%,
New Mexico,5%,,21%,74%,
Alabama,4%,,21%,75%,
Pennsylvania,4%,<1%,26%,70%,
Colorado,5%,<1%,24%,71%,
Illinois,4%,<1%,24%,72%,
Louisiana,3%,,21%,76%,
Massachusetts,4%,<1%,25%,71%,
New York,5%,<1%,24%,71%,
Missouri,4%,<1%,20%,76%,
Delaware,3%,,28%,69%,
Wyoming,,,28%,72%,
South Carolina,5%,<1%,24%,71%,
North Carolina,4%,<1%,25%,71%,
Tennessee,4%,,22%,74%,
Georgia,4%,<1%,21%,75%,
Mississippi,2%,,24%,74%,
District of Columbia,2%,,31%,67%,
